Nitrogen,Phosphorus,Potassium,pH,Moisture,Temperature,PlantType
76,47,42,5.739175027,83.29114712,20.08369642,rice
99,41,36,6.738652179,82.74835604,24.45802087,rice
99,54,37,5.594819626,80.33502926,21.14347496,rice
86,59,35,6.946636369,82.11124033,25.78720567,rice
69,46,41,5.012139669,80.28597873,23.64124821,rice
91,56,37,6.363472208,80.56887849,23.43191632,rice
61,52,41,6.880431223,83.891805,24.97669518,rice
67,45,38,7.300410836,82.1706881,22.72791041,rice
79,42,37,6.587918708,82.84022551,24.87300744,rice
78,43,42,7.283736617,83.00320459,21.32376327,rice
75,54,36,7.023936392,84.56919326,26.29465461,rice
97,36,45,6.939083505,81.85872947,22.2286982,rice
67,47,44,7.868474653,81.78596776,26.73072391,rice
73,35,38,5.005306977,81.97927117,24.88921174,rice
77,36,37,6.136131869,81.46033732,26.88444878,rice
81,41,38,7.524080076,83.72874389,22.67846116,rice
68,57,43,5.706943251,80.37979919,26.08867875,rice
72,45,35,5.758506323,82.94682591,25.42977518,rice
61,53,43,6.349606327,81.05635517,26.40323239,rice
67,43,39,5.999969026,84.96907151,26.04371967,rice
67,58,39,5.453592032,80.54372813,25.2827223,rice
66,60,38,6.372576327,83.47038318,22.08576562,rice
82,43,38,5.105588355,81.43321641,23.28617173,rice
84,50,44,5.935344406,81.40633547,25.48591986,rice
81,53,42,5.17782304,81.03569343,23.67575393,rice
91,50,40,6.462391607,84.1341879,20.82477109,rice
93,53,38,7.069172227,81.91411159,26.92995077,rice
90,44,38,7.473134377,83.88387074,23.83509503,rice
81,45,35,6.158376967,80.12267476,26.52872817,rice
78,40,38,7.549873681,83.85642678,26.46428311,rice
60,51,36,6.028321558,82.81088865,22.69657794,rice
88,46,42,6.604993475,83.46358271,22.68319059,rice
93,47,37,6.500343222,82.14004101,21.53346343,rice
60,55,45,5.935745417,83.3293191,21.40865769,rice
78,35,44,7.072655622,84.67353597,26.54348085,rice
65,37,40,5.333322606,83.59512273,23.35905428,rice
71,54,16,5.749914421,63.69070564,22.61359953,maize
61,44,17,6.931756558,71.57476937,26.10018422,maize
80,43,16,6.657964753,71.59351368,23.55882094,maize
73,58,21,6.596060648,57.68272924,19.97215954,maize
61,38,20,5.970458434,62.69503871,18.47891261,maize
68,41,16,6.158830619,57.80840636,21.77689322,maize
93,41,17,6.047906679,66.50415474,25.6217169,maize
89,60,19,5.913664501,66.6902901,25.19192419,maize
76,44,17,5.855442401,62.5542482,20.41683147,maize
67,60,25,5.750254943,66.78627406,24.92162194,maize
70,44,19,5.852607099,73.4541537,23.31689124,maize
90,49,21,6.472523287,68.3584573,24.84016732,maize
62,52,16,6.967057762,58.84015925,22.27526694,maize
92,44,16,6.082973754,65.76816093,18.87751445,maize
66,54,21,5.919045532,60.2001687,25.19008683,maize
63,58,22,6.204747653,55.28220433,18.25405352,maize
70,47,17,6.600827017,70.4162444,24.6129118,maize
61,41,17,6.021902237,65.26185135,25.1420613,maize
66,53,19,6.033550195,60.1159381,23.09348056,maize
74,55,19,6.28886807,62.89366992,18.05033737,maize
77,57,21,6.550563823,73.80435276,24.9321581,maize
99,50,15,5.573286437,71.09445342,18.14710054,maize
74,56,22,6.829199275,66.65952796,18.28362235,maize
83,45,21,5.716222912,58.75082029,18.83344471,maize
100,48,16,5.54990242,67.22190688,25.71895816,maize
79,51,16,6.586244581,68.49835977,25.33797709,maize
94,39,18,5.893093135,57.48775781,23.89114571,maize
75,49,15,5.918263801,71.50905983,21.53574127,maize
78,48,22,5.588650585,63.10459626,23.08974909,maize
87,54,20,6.576418207,63.4711755,25.61707368,maize
87,35,25,6.178056304,63.1621551,21.44526922,maize
63,43,19,6.641906353,55.53128131,18.51816776,maize
84,57,25,6.489040367,67.99257471,22.53510514,maize
64,35,23,5.680361038,61.89472002,23.02038334,maize
60,46,22,6.625404348,65.61418761,24.89364635,maize
98,44,21,6.524478032,74.089114,25.77175115,maize
75,56,18,5.696205468,62.35750641,19.39851734,maize
86,55,21,6.803931519,59.64024162,21.54156232,maize
98,35,18,6.252797548,74.82913698,23.79746068,maize
76,57,18,6.092725883,74.52600826,18.9802729,maize
99,56,17,6.234330356,73.13112261,24.10859207,maize
60,44,23,5.722579819,70.04556743,24.7947077,maize
74,48,17,6.430616465,60.27766379,21.63162756,maize
89,60,17,5.983952675,57.21025565,25.37548751,maize
69,51,23,6.80163854,72.85462807,22.21738222,maize
96,46,22,6.499936446,69.00128641,20.58314011,maize
61,60,15,6.265564338,68.74248334,24.87502824,maize
74,58,18,6.727303282,56.35606753,20.03728219,maize
74,43,23,6.325235159,61.89082199,25.95263264,maize
63,43,17,6.807487794,65.47050802,19.28889933,maize
99,36,20,6.671085817,65.34583901,20.57981887,maize
77,36,23,6.648725327,56.73426469,24.71417533,maize
87,60,23,6.439071996,63.91281869,20.27317074,maize
60,38,17,6.474476516,64.23580251,18.41932981,maize
94,54,17,5.871647806,61.74427165,23.39128187,maize
95,38,22,5.730617109,61.24500053,19.84939404,maize
84,44,21,5.850439831,61.91044947,21.869274,maize
77,58,19,5.791649933,56.50768935,22.8056033,maize
66,44,20,6.740000688,69.02298571,19.0781471,maize
63,35,16,6.272417541,65.35549924,22.02720976,maize
79,45,20,5.715208817,59.24537979,23.80546189,maize
72,60,25,5.773454729,69.0276233,18.52510753,maize
67,51,24,5.584171461,61.32026065,23.50297882,maize
86,36,24,5.787268394,72.89187265,26.54986394,maize
76,48,18,5.77597783,69.63481219,19.29563411,maize
75,53,18,6.864793607,59.4375337,20.68899915,maize
81,45,23,6.192360003,68.034493,19.32666088,maize
73,45,21,6.636803223,73.58868502,24.60532218,maize
71,35,24,5.826426917,59.52193158,22.27373646,maize
96,54,22,6.960358276,61.33450447,25.70196694,maize
99,39,18,6.11275104,68.30578978,19.20129357,maize
62,48,20,6.708446922,60.47470519,21.70181447,maize
86,37,16,5.561510732,59.21235483,20.51716779,maize
94,50,19,5.873242491,73.62548442,23.30355338,maize
76,39,24,6.995843776,55.64709899,24.2547451,maize
77,52,17,5.714799723,65.7420046,24.86374934,maize
74,39,23,6.78073637,65.77472881,22.6265115,maize
81,49,20,5.513697923,60.61494304,18.04185513,maize
63,42,21,5.798423908,72.33125523,23.26237612,maize
99,38,21,6.352471866,71.59722446,22.88330922,maize
90,52,25,6.822586546,69.36385721,25.97482359,maize
68,40,19,6.655426355,66.20569924,26.14384005,maize
60,57,24,6.121294041,61.55327249,18.66116213,maize
71,52,18,5.790770203,55.97732754,25.10787449,maize
61,59,17,6.47444292,59.24580604,23.33844615,maize
88,38,15,6.455116637,65.92195844,25.08239719,maize
65,60,22,6.606984086,72.52054555,25.36768364,maize
78,37,22,6.330554389,63.31801994,25.34217103,maize
78,58,15,6.528631266,67.816568,25.00933355,maize
92,60,23,5.721667141,71.516474,18.66746724,maize
79,59,17,6.644205485,63.73849998,20.37999665,maize
91,55,15,6.376651091,72.61024172,18.09300227,maize
76,51,18,6.247040422,71.96246617,26.16985907,maize
87,48,25,6.656730008,61.37879671,18.65396672,maize
71,60,22,6.2048017,59.37147589,26.07470121,maize
90,57,24,6.158860284,72.80086137,18.92851916,maize
67,35,22,6.385684214,63.24648023,23.30546753,maize
60,54,19,6.417820493,62.49878458,18.74826712,maize
83,58,23,6.381201909,59.66263104,19.74213321,maize
83,57,19,6.877869005,70.74739256,25.73044432,maize
40,72,77,7.485996067,16.98861173,17.02498456,chickpea
23,72,84,6.920251378,17.13159126,19.02061277,chickpea
39,58,85,5.996932037,15.40589717,17.88776475,chickpea
22,72,85,6.391173589,15.65809214,18.86805647,chickpea
36,67,77,7.152811172,19.56381041,18.36952567,chickpea
32,73,81,5.988992796,15.40312102,20.45078582,chickpea
58,70,84,6.231049028,16.60820843,20.6543203,chickpea
59,70,84,7.550808267,18.74926979,17.3348681,chickpea
42,62,75,7.010570541,18.90426935,18.17912258,chickpea
28,74,81,8.753795334,18.30968112,18.01272266,chickpea
58,66,79,8.718192847,19.33470387,20.99373558,chickpea
43,66,79,7.976607593,15.22538951,19.46233971,chickpea
58,63,81,6.515499549,14.69765308,19.81344531,chickpea
23,62,85,8.490127142,19.5161216,18.97424756,chickpea
27,62,77,6.576415562,14.71070537,18.19737048,chickpea
28,72,84,6.481783043,19.18197264,18.72963144,chickpea
50,56,76,7.966605025,19.8601304,20.99502153,chickpea
39,71,84,8.140825437,16.39535215,20.28155898,chickpea
25,78,76,7.228963452,15.7559405,17.48042641,chickpea
31,70,77,6.492546046,14.32313811,20.88818675,chickpea
26,80,83,7.528599957,16.14565756,17.08498521,chickpea
25,68,77,7.701446446,15.11279612,20.09340593,chickpea
31,78,76,8.519975748,14.99927489,17.57212145,chickpea
60,68,83,6.620900869,18.43475844,19.12065218,chickpea
59,62,83,8.104396058,19.22008229,18.57665902,chickpea
22,67,78,6.204090835,14.42457525,17.16606398,chickpea
36,65,80,6.051091339,16.67921616,18.2872007,chickpea
59,60,84,7.690962338,18.66725565,19.03025305,chickpea
54,77,85,7.829211144,17.0662427,17.1418614,chickpea
43,68,81,6.761599706,17.93253975,17.47809436,chickpea
28,76,82,6.654425315,14.25803981,20.56601874,chickpea
42,79,85,6.129533877,15.82069268,17.22385224,chickpea
32,60,83,8.829273328,19.44225438,19.69141713,chickpea
22,78,76,8.621662982,19.09172907,17.84851658,chickpea
31,79,75,8.204862075,16.1074793,18.8202251,chickpea
28,58,81,6.18042747,16.54314829,17.47500984,chickpea
57,58,77,7.978996755,17.58406365,18.72649425,chickpea
49,55,78,7.863113671,16.17772668,18.65580107,chickpea
46,76,77,6.967843048,19.68538502,18.2356751,chickpea
54,61,77,6.206582193,15.21618225,18.81198127,chickpea
38,60,76,8.868741443,17.80852431,18.65054116,chickpea
59,55,79,8.766128654,16.89574311,20.36720401,chickpea
36,76,75,8.736337905,16.63805158,18.38120357,chickpea
57,68,81,8.081095263,17.30457712,17.17012591,chickpea
35,66,81,6.138243973,15.77458129,19.37101121,chickpea
35,64,78,7.496645259,14.27327988,17.92845928,chickpea
52,60,79,8.380185271,18.23490739,19.45339934,chickpea
27,76,83,6.289614016,14.92241479,19.12829388,chickpea
57,60,84,6.586777189,17.26184541,19.1034283,chickpea
52,68,78,6.89655198,16.96070581,17.48504075,chickpea
43,79,79,7.806747656,18.98030507,19.40751744,chickpea
44,74,85,7.150681303,19.63719995,20.18649426,chickpea
24,55,78,6.64919573,15.15405941,17.30287885,chickpea
29,77,75,7.778591618,15.48083156,17.50361137,chickpea
20,60,78,6.358740355,14.70085967,18.17234999,chickpea
56,67,78,8.255450758,16.71826572,17.57445618,chickpea
37,66,85,6.456148474,18.91295403,20.93175255,chickpea
49,71,76,6.613072145,17.63879418,19.71098332,chickpea
59,69,80,8.165359297,17.86754927,19.07937684,chickpea
20,79,77,7.64867466,16.02542689,18.54988627,chickpea
24,56,85,6.545888558,17.41333199,18.19903647,chickpea
51,72,75,7.104224797,14.99451145,18.88852533,chickpea
57,73,85,7.358099622,14.72115044,18.49311205,chickpea
22,64,82,6.4740245,17.17260319,19.48974337,chickpea
52,73,79,7.840339389,18.74943955,17.25769499,chickpea
29,75,75,7.064790365,18.71483156,19.62416326,chickpea
44,59,78,7.599033472,19.85388984,20.67526473,chickpea
41,69,82,6.715587232,16.63294455,20.02381489,chickpea
52,56,85,6.81712422,14.44228303,20.1187446,chickpea
34,76,80,7.985417393,15.84572566,20.65691793,chickpea
42,74,83,7.545258424,14.2804191,19.2582557,chickpea
34,71,79,7.728998197,15.85622899,17.927806,chickpea
27,73,79,7.354973451,15.83500655,19.16288268,chickpea
30,70,79,7.313122235,19.96978871,20.26942271,chickpea
57,57,75,7.785039076,18.25142068,17.09104223,chickpea
27,79,82,6.307004923,17.54024066,17.06579293,chickpea
32,71,85,6.403982316,14.44008871,20.62767492,chickpea
31,76,82,7.599279991,17.85057083,20.8248451,chickpea
33,75,84,7.217018459,18.72831993,19.46210401,chickpea
47,80,77,7.561108006,16.42891834,17.18248372,chickpea
54,62,80,7.489545074,16.39055394,17.48911699,chickpea
47,79,78,6.609696734,14.76014523,17.48395377,chickpea
35,57,83,7.476800943,17.44534641,19.48316794,chickpea
53,73,77,7.325451279,18.09665739,19.71359733,chickpea
45,61,78,6.489389282,16.06240074,19.48649305,chickpea
37,78,79,7.786366322,14.82633099,19.95264829,chickpea
30,75,81,6.408437886,16.80472243,19.41789736,chickpea
37,55,82,8.423873703,18.02235902,19.45591848,chickpea
53,65,76,8.719960893,16.41998269,20.19137759,chickpea
22,60,85,7.811997977,14.74071856,18.8392908,chickpea
60,61,78,6.317153205,19.83643308,20.71219282,chickpea
42,67,77,7.114405288,15.9362937,18.99424448,chickpea
39,76,76,8.135900726,15.57324389,19.96837462,chickpea
35,63,76,7.714153038,17.60756635,17.81564548,chickpea
30,65,82,7.103798069,15.27824066,20.71424384,chickpea
57,56,78,8.861479668,18.75626255,17.34150229,chickpea
48,65,78,7.861128148,14.33847406,17.43732714,chickpea
36,56,83,7.4526709,19.76182946,18.89780215,chickpea
40,58,75,7.168096055,14.77959596,18.59190771,chickpea
49,69,82,7.26311855,15.36143547,18.31561493,chickpea
13,60,25,5.68597166,20.59541693,17.13692774,kidneybeans
25,70,16,5.759237003,18.90705639,19.63474332,kidneybeans
31,55,22,5.873171894,21.33953114,22.91350245,kidneybeans
40,64,16,5.926676985,24.24045875,16.43340342,kidneybeans
2,61,20,5.95561668,23.02251117,22.13974653,kidneybeans
26,65,22,5.949949081,18.77621951,17.84806561,kidneybeans
17,57,21,5.789214289,20.31564139,19.88394011,kidneybeans
26,80,18,5.581021521,23.3334788,19.32509638,kidneybeans
17,59,17,5.689858133,23.42829938,18.4167001,kidneybeans
27,59,22,5.794158504,23.20591245,21.81167649,kidneybeans
28,58,24,5.748190463,18.28173015,19.72702528,kidneybeans
25,57,19,5.566522896,19.87070659,17.15432954,kidneybeans
28,80,17,5.809419584,18.67170854,19.62207826,kidneybeans
25,60,22,5.887263027,21.17919701,21.63149148,kidneybeans
12,78,23,5.99812453,18.72479695,16.06522754,kidneybeans
6,77,25,5.792744849,24.36314135,20.61162204,kidneybeans
22,79,17,5.912289889,20.39659714,21.42451099,kidneybeans
27,80,15,5.788386951,21.21092266,19.07096165,kidneybeans
10,55,23,5.728233081,19.63438599,21.18853178,kidneybeans
23,65,20,5.833940084,22.42610972,23.0429097,kidneybeans
19,78,16,5.967533236,23.10538637,20.65375833,kidneybeans
19,65,25,5.625096446,18.29318436,18.09551014,kidneybeans
22,70,19,5.515615023,21.07643273,18.23775702,kidneybeans
37,64,22,5.954665349,18.8251973,17.48189735,kidneybeans
11,71,17,5.74644777,21.47324158,19.9191786,kidneybeans
18,79,20,5.877347515,23.2353604,20.27514686,kidneybeans
21,63,17,5.979973965,19.2303162,15.77370214,kidneybeans
24,80,22,5.635993966,19.17651433,16.71170642,kidneybeans
34,60,22,5.635231778,18.15302753,17.66148158,kidneybeans
16,75,21,5.679224346,23.61670065,18.50692825,kidneybeans
17,77,23,5.670062975,20.81527638,24.51324787,kidneybeans
37,72,18,5.724242065,24.54038287,18.87614998,kidneybeans
40,73,20,5.811314232,20.31871249,21.59343016,kidneybeans
9,77,17,5.783425416,24.45202552,20.12373284,kidneybeans
1,62,23,5.607808432,18.37477907,15.43546065,kidneybeans
33,59,22,5.946999529,21.59396123,22.64236876,kidneybeans
23,59,19,5.852046999,24.87304788,21.98560799,kidneybeans
6,62,22,5.824090984,18.09224048,20.53052663,kidneybeans
25,63,20,5.502999119,21.14544088,15.78601387,kidneybeans
7,79,23,5.821649914,19.68751084,19.6365349,kidneybeans
8,72,17,5.711439256,19.7520218,20.57341244,kidneybeans
27,64,15,5.514927264,24.84207559,20.16080524,kidneybeans
28,66,23,5.99616119,24.25386207,21.53989176,kidneybeans
32,57,18,5.695422863,23.75560241,15.53834801,kidneybeans
27,56,22,5.833010958,20.70099804,19.91853092,kidneybeans
17,77,24,5.568456899,18.93146941,20.76952209,kidneybeans
0,65,15,5.645435626,23.22197648,23.46168338,kidneybeans
13,72,21,5.821194486,21.0278674,24.32116642,kidneybeans
34,60,23,5.659254981,24.96969858,20.12574053,kidneybeans
9,80,19,5.945465949,18.57086554,21.80619564,kidneybeans
11,72,20,5.951177452,24.92607153,19.52226241,kidneybeans
3,67,24,5.520880014,19.90790546,17.00067625,kidneybeans
35,69,23,5.578410206,24.96881755,16.78791503,kidneybeans
3,77,25,5.608165195,22.89464642,24.84906168,kidneybeans
23,62,19,5.609435128,20.4555596,16.51783455,kidneybeans
22,71,17,5.509295379,19.38602098,18.15300153,kidneybeans
31,79,25,5.902033406,22.3104551,23.18864385,kidneybeans
34,59,18,5.744117663,21.98879437,23.38002569,kidneybeans
12,63,17,5.717143397,19.37703396,18.358923,kidneybeans
27,56,20,5.542690119,20.51346956,19.25975367,kidneybeans
7,63,24,5.858617867,24.03553105,22.95458237,kidneybeans
24,67,22,5.618844277,22.89845607,20.120043,kidneybeans
11,71,24,5.606620346,22.7182355,21.14011423,kidneybeans
37,74,15,5.582178402,18.22590825,24.92360104,kidneybeans
25,76,24,5.56503533,24.91506728,15.33042636,kidneybeans
34,66,17,5.889614577,21.27833035,18.81097271,kidneybeans
20,69,15,5.934136378,22.77255917,23.44260668,kidneybeans
37,65,16,5.683548308,18.97267518,22.8352024,kidneybeans
18,74,15,5.70836603,22.27512704,24.9035819,kidneybeans
4,67,25,5.948164454,24.35679348,23.78709569,kidneybeans
37,56,25,5.774755144,19.60379304,22.05592283,kidneybeans
5,59,15,5.97229163,20.18238348,18.87492997,kidneybeans
11,61,21,5.532100554,23.02410338,18.62328774,kidneybeans
22,80,20,5.669560726,18.86880997,23.00884744,kidneybeans
12,61,19,5.655726817,24.13995025,19.33162606,kidneybeans
5,74,21,5.591704014,21.35793891,16.24469193,kidneybeans
27,69,22,5.932323085,24.90814655,17.91652287,kidneybeans
31,75,18,5.824208309,21.43780702,15.46789263,kidneybeans
36,68,20,5.86442953,23.77201471,17.06104474,kidneybeans
5,65,16,5.866744372,18.48522915,21.32776028,kidneybeans
32,79,15,5.706198621,20.74619325,23.90910104,kidneybeans
11,78,22,5.940546818,22.74378977,23.89756791,kidneybeans
0,55,22,5.916779289,20.57940608,22.98666928,kidneybeans
14,59,15,5.779090476,22.91244883,21.35135729,kidneybeans
29,68,23,5.82738029,19.27907819,24.1638445,kidneybeans
32,68,19,5.514234138,18.18325169,24.62835037,kidneybeans
17,64,17,5.662699104,24.93896255,21.02213209,kidneybeans
13,69,19,5.86390397,20.01730914,17.30844532,kidneybeans
14,67,22,5.624690248,24.75485098,23.82576704,kidneybeans
9,69,20,5.591560999,23.96362799,19.30607278,kidneybeans
20,73,22,5.976312538,22.33195853,16.03768615,kidneybeans
40,78,20,5.669236258,20.83398341,19.18572809,kidneybeans
27,72,23,5.961934481,21.79992115,19.92889503,kidneybeans
14,67,15,5.690065688,24.67385131,19.56376468,kidneybeans
7,56,18,5.698371311,24.32991649,18.31357543,kidneybeans
27,65,18,5.59503163,23.22323766,20.10993761,kidneybeans
30,63,16,5.525904526,21.90539577,23.60506572,kidneybeans
37,70,25,5.819403771,24.89487354,19.73136909,kidneybeans
27,63,19,5.562201934,21.1893007,20.93409877,kidneybeans
22,60,24,5.630664753,20.24768314,18.78226261,kidneybeans
3,72,24,6.03160778,57.92887167,36.51268371,pigeonpeas
40,59,23,5.269084669,62.73178224,36.89163721,pigeonpeas
33,73,23,5.985792703,59.38967583,29.23540524,pigeonpeas
27,57,24,6.09186275,43.35795962,27.33534897,pigeonpeas
10,79,18,5.624731338,55.46985938,21.0643684,pigeonpeas
30,75,25,6.446091759,42.35249879,30.33276599,pigeonpeas
40,70,20,5.623490043,45.03186173,31.80130272,pigeonpeas
38,55,19,5.864623352,38.23184742,33.18184225,pigeonpeas
35,58,20,5.761702519,63.47742011,29.38538562,pigeonpeas
38,61,21,4.696518678,67.38680755,30.27374995,pigeonpeas
33,58,24,5.269504214,68.75810535,35.45790488,pigeonpeas
16,56,17,7.445444883,40.03262418,33.80020039,pigeonpeas
31,72,17,5.833031708,49.47225353,28.69180475,pigeonpeas
16,80,20,7.339320929,56.67369054,31.24021696,pigeonpeas
27,72,17,6.347929353,57.23265151,28.98039357,pigeonpeas
40,62,19,4.697750704,34.13737127,27.32198928,pigeonpeas
18,58,16,4.962661422,38.80023714,21.47607807,pigeonpeas
3,68,16,4.964887857,34.69776639,18.31910448,pigeonpeas
26,67,24,5.642813116,37.73992903,36.97794384,pigeonpeas
16,70,20,5.6093956,40.1242747,24.80467592,pigeonpeas
24,63,19,4.681576043,55.96805489,19.3479443,pigeonpeas
9,76,25,5.70951224,50.12323801,28.88302142,pigeonpeas
16,55,19,6.413543781,47.19188279,19.54314136,pigeonpeas
28,75,21,6.007508163,50.54621094,24.7741949,pigeonpeas
16,71,24,4.946369874,38.40975482,18.33124824,pigeonpeas
24,70,21,5.517208078,45.3733757,19.14729038,pigeonpeas
38,72,21,5.902103172,49.4421345,28.23416057,pigeonpeas
9,66,21,5.719889876,34.13307843,30.11812084,pigeonpeas
34,56,17,4.548202098,35.42910045,33.4126864,pigeonpeas
1,76,19,6.669529416,46.68746847,24.18553163,pigeonpeas
6,69,19,4.750929218,41.69617915,26.88630675,pigeonpeas
26,73,21,4.946263888,57.97429171,31.33170829,pigeonpeas
27,61,18,5.266227032,67.07780816,33.30711818,pigeonpeas
27,71,23,7.10959773,46.48714759,23.45379018,pigeonpeas
36,61,21,5.617008201,39.04468913,34.53823889,pigeonpeas
17,73,18,5.632353113,34.51086611,19.50112224,pigeonpeas
26,72,22,4.674941549,37.57792132,28.76794904,pigeonpeas
17,64,16,7.161797643,32.24914235,30.97758716,pigeonpeas
14,74,19,6.624966131,36.82639309,18.39759147,pigeonpeas
39,60,15,5.004074624,30.98685456,35.09357419,pigeonpeas
6,66,15,6.345806011,30.40046769,34.93174223,pigeonpeas
8,59,18,6.216814453,35.72032498,29.50523036,pigeonpeas
2,67,18,5.921666758,47.52980027,34.51934775,pigeonpeas
1,76,17,6.012719118,52.10010827,28.43430726,pigeonpeas
16,73,19,4.684079249,34.80541039,18.41645629,pigeonpeas
23,75,25,7.077170002,47.19847683,31.07508973,pigeonpeas
32,70,20,6.208843215,46.24856523,20.89342749,pigeonpeas
28,59,22,7.05181629,52.79913039,30.90607799,pigeonpeas
5,62,23,4.722222454,66.45457122,27.9348279,pigeonpeas
36,67,25,6.418062652,36.52780776,35.95176642,pigeonpeas
1,66,23,4.803564468,56.92831399,19.54317155,pigeonpeas
24,73,20,4.608695247,32.31528909,19.63736208,pigeonpeas
17,67,18,5.611510977,56.46868874,31.2192752,pigeonpeas
5,55,18,7.322097972,45.70976142,33.50876355,pigeonpeas
5,56,24,5.023115055,45.01110015,24.80710166,pigeonpeas
37,77,17,5.617122801,31.94550613,36.20970524,pigeonpeas
13,73,20,5.391560418,35.48885969,30.50420876,pigeonpeas
6,63,23,5.906596905,49.94704718,26.01630259,pigeonpeas
16,77,22,6.574209678,35.6395615,31.48469278,pigeonpeas
25,64,20,4.807776749,32.45974539,33.15122581,pigeonpeas
34,75,24,4.760038039,51.29019509,23.50222822,pigeonpeas
20,77,23,5.180271502,38.83786012,34.87248659,pigeonpeas
35,80,25,4.895927306,44.93322042,28.09269012,pigeonpeas
14,75,24,6.436160044,57.3414485,24.54757829,pigeonpeas
36,80,21,7.066087261,48.41490082,33.64769646,pigeonpeas
7,77,18,6.655918078,60.54880693,20.5591255,pigeonpeas
29,78,25,5.982854523,59.33157782,19.95991719,pigeonpeas
30,60,21,5.457871273,62.4901206,28.87667593,pigeonpeas
20,74,16,4.759490199,43.61444121,36.04353699,pigeonpeas
19,57,23,7.342409555,47.2879691,23.6734328,pigeonpeas
3,60,19,4.820788186,40.7192594,25.74679443,pigeonpeas
5,77,19,6.242052013,66.68832981,31.08564994,pigeonpeas
5,68,20,5.001038726,61.33186249,18.72987676,pigeonpeas
37,73,21,5.560224583,63.46513414,29.50304807,pigeonpeas
9,59,24,4.747352458,39.37252634,20.43517772,pigeonpeas
20,72,15,7.313517308,56.01334416,36.00415838,pigeonpeas
31,56,23,5.661826398,35.39454002,31.46846241,pigeonpeas
0,70,21,4.672437054,56.03021253,36.30049702,pigeonpeas
21,74,15,6.471862118,67.10604388,29.49096726,pigeonpeas
